0,-22.5
0.00025341,-22.5
0.0015204,-22.5
0.0078556,-22.5
0.039531,-22.491
0.19525,-22.284
0.40882,-21.565
0.65759,-20.123
0.934,-17.821
1.2353,-14.58
1.5612,-10.368
1.8936,-5.5068
2.2311,-0.19495
2.5803,5.4878
2.9488,11.475
3.3471,17.712
3.7926,24.169
4.332,30.992
5.0624,38.171
5.7927,42.805
6.5212,44.9
7.3171,44.441
8.2087,40.808
9.1712,33.702
9.8325,27.326
10.494,20.181
11.077,13.657
11.603,7.9704
12.084,3.2426
12.532,-0.53664
12.96,-3.387
13.374,-5.3256
13.78,-6.3715
14.184,-6.5484
14.589,-5.8852
15.002,-4.4164
15.427,-2.1833
15.872,0.76546
16.346,4.3746
16.829,8.2997
17.329,12.368
17.859,16.424
18.434,20.283
19.077,23.696
19.715,25.974
20.349,27.082
20.995,27.03
21.66,25.817
22.353,23.459
23.062,20.147
23.72,16.546
24.334,13.007
24.92,9.7411
25.489,6.8968
26.033,4.6705
26.552,3.1338
27.056,2.2656
27.554,2.0432
28.055,2.4405
28.565,3.4252
29.093,4.9583
29.653,6.9947
30.228,9.3406
30.81,11.767
31.41,14.134
32.044,16.288
32.722,18.036
33.376,19.072
34.025,19.43
34.681,19.129
35.354,18.194
36.06,16.664
36.777,14.715
37.458,12.697
38.118,10.787
38.769,9.1169
39.418,7.8182
40.033,7.0183
40.632,6.6925
41.229,6.8155
41.835,7.3593
42.462,8.2887
43.13,9.5629
43.807,11.001
44.485,12.432
45.183,13.742
45.917,14.811
46.64,15.461
47.346,15.673
48.056,15.473
48.783,14.887
49.548,13.955
50.331,12.801
51.083,11.652
51.825,10.621
52.577,9.8012
53.305,9.3063
54.008,9.1452
54.708,9.292
55.422,9.7189
56.172,10.392
56.967,11.244
57.747,12.097
58.539,12.859
59.364,13.444
60.171,13.747
60.959,13.766
61.754,13.527
62.578,13.059
63.466,12.401
64.324,11.725
65.168,11.13
66.029,10.683
66.866,10.461
67.677,10.463
68.492,10.662
69.339,11.032
70.258,11.536
71.156,12.037
72.06,12.461
73.004,12.747
73.907,12.834
74.796,12.743
75.707,12.498
76.678,12.132
77.658,11.736
78.619,11.4
79.607,11.175
80.56,11.107
81.491,11.182
82.443,11.376
83.463,11.659
84.496,11.955
85.525,12.192
86.602,12.328
87.621,12.33
88.633,12.223
89.691,12.031
90.826,11.794
91.923,11.597
93.045,11.476
94.136,11.46
95.203,11.535
96.311,11.678
97.522,11.86
98.692,12.006
99.898,12.085
101.06,12.079
102.22,12.003
103.43,11.878
104.71,11.747
105.96,11.658
107.25,11.635
108.47,11.677
109.73,11.762
111.11,11.867
112.45,11.941
113.85,11.962
115.16,11.93
116.5,11.863
117.98,11.784
119.41,11.735
120,11.727
